Landblock Hex	Landblock Dec	Dungeon Name	Drop Loc	Wiki Link	WeenieClassId	WeenieDesc	aceObjectId	Portal Name	Portal Loc	Portal Coordinates	Portal Restrictions	NPC Name	Gem Name	Gateway	Notes	Spreadsheet Info
0001	1	Remote Empyrean Vault	0x000102c6 60 0 0.0049999998882413 0.67855697870255 0 0 -0.73454701900482	0001	28782	portalremoteempvault	1919832064	Remote Empyrean Vault	0x26E5001C 86.8363 94.8453 15.1734 -0.968709 0 0 -0.248201	81.6N 71.2W	LR040					COLOR KEY
0002	2		0x00020224 90.000000 -50.000000 0.005000 1.000000 0.000000 0.000000 0.000000	0002	28795	portalviamontiangarrison	1916653568	Viamontian Garrison	0x23DD000D 35.8133 107.669 39.937 0.976458 0 0 0.215707	75.3N 73.8W	NT NR NS					Special 
0003	3	Viamontian Garrison	0x0003019e 119.96700286865 -0.78075897693634 0.29925000667572 -0.029200000688434 0 0 -0.99957400560379	0003							LR080		Niffis Fighting Pits	x		Missing
0004	4	Northern Power Forge	0x00040100 0 -170 6.0050001144409 1 0 0 0	0004	30472	portalpowerforgenorth	1982423040	Northern Power Forge	0x6296003C 173.221 79.8782 0.593516 -0.99995 0 0 -0.0100152	18.4N 22.8W	LR040					Needs Verified
0005	5	Southern Power Forge	0x00050100 0 -170 6.0050001144409 1 0 0 0	0005				Southern Power Forge		 82.2S 3.9W	LR070					Verified
0006	6	Western Power Forge	0x00060100 0 -170 6.0050001144409 1 0 0 0	0006	30470	portalpowerforgewest	1954955264	Western Power Forge	0x48640029 132.279 14.7523 -0.063 0.285669 0 0 -0.958328	21.9S 43.8W	LR100					
0007	7	Town Network (Aluvian)	0x00070143 70.000000 -60.000000 0.005000 0.000000 0.000000 0.000000 -1.000000	0007				Portal to Town Network		See Wiki	N					Portal Notes
0007	7	Town Network (Annex)	0x00070145 70 -80 0.0049999998882413 1 0 0 0	0007				Portal to Town Network		See Wiki	N		Town Network Portal Gem	x		Portal name = Exact name of portal, npc, gem or world object that teleports you.
0007	7	Town Network (Gharu'ndim)	0x00070133 60.000000 -70.000000 0.005000 0.707107 0.000000 0.000000 -0.707107	0007				Portal to Town Network		See Wiki	N					
0007	7	Town Network (Sho)	0x00070156 80.000000 -70.000000 0.005000 -0.707107 0.000000 0.000000 -0.707107	0007				Portal to Town Network		See Wiki	N					Gateway:
0008	8	Defiled Temple Lower Wing	0x00080164 20 -110 0.0049999998882413 0.73168897628784 0 0 -0.68163901567459	0008	30749	portaldefiledtemplelow	2056126502	Defiled Temple Lower Wing	0xA8E00108 82.301 85.604 23.137 -0.0000000437114 0 0 -1	77.8N 32.8E	LR040 QF					Enter (x) if npc or gem summons a gateway.
0009	9	Defiled Temple Upper Wing	0x00090164 20 -110 0.0049999998882413 0.71442097425461 0 0 -0.69971597194672	0009	30751	portaldefiledtemplehigh	2056126505	Defiled Temple Upper Wing	0xA8E0010D 106.189 105.741 23.137 -0.722811 0 0 -0.691046	77.8N 32.8E	LR080 QF					
000A	10	Defiled Temple Asylum	0x000a0164 20 -110 0.0049999998882413 0.71442097425461 0 0 -0.69971597194672	000A	30752	portaldefiledtempleuber	2056126504	Defiled Temple Asylum	0xA8E00112 83.878 129.746 23.137 1 0 0 0	77.8N 32.8E	LR100 QF					Portal Restrictions formated as such: (Ex: NS NR NT LR030 IR QF N)
000B	11	Banderling Shrine	0x000B034F 320.000000 -170.000000 0.000000 1.000000 0.000000 0.000000 0.000000	000B							 LR060 NS	Crude Statue		x		No Summon (NS)
000C	12	Weakened Vault Sewers	0x000C02EE 110.000000 0.000000 0.005000 0.714421 0.000000 0.000000 -0.699716	000C	30717	portalassaultsewersweakened	1879080999	Weakened Vault Sewers	0x00080181 40 0 -0.063 -0.0000000437114 0 0 -1	0008	LR040 QF					No Tie (NT)
000D	13	Secured Vault Sewers	0x000d02ee 110 0 0.0049999998882413 0.71442097425461 0 0 -0.69971597194672	000D				Secured Vault Sewers		01EC	LR060 QF					Item Restricted (IR)
000E	14	Reinforced Vault Sewers	0x000e02ee 110 0 0.0049999998882413 0.71442097425461 0 0 -0.69971597194672	000E				Reinforced Vault Sewers		0009	LR080 QF					Quest Flag (QF)
000F	15	Fortified Vault Sewers	0x000f02ee 110 0 0.0049999998882413 0.71442097425461 0 0 -0.69971597194672	000F				Fortified Vault Sewers		000A	LR100 QF					
0010	16	War Room	0x0010035e 110.58899688721 -191.14399719238 0.0049999998882413 0.32975399494171 0 0 -0.94406700134277	0010	30660	portalwarroom	1891041281	War Room	0x0B70001D 91.879 106.925 89.937 -0.719085 0 0 0.694922	12.1S 92.7W	LR080					Portal Coordinates:
0011	17	Weakened Royal Vault	0x001102d6 0 -10 0.0049999998882413 1 0 0 0	0011	30726	portalassaultroyalvaultweakened	1879097379	Weakened Royal Vault	0x000C0199 0 -100 -18.063 0.707107 0 0 -0.707107	000C	LR040 QF					Coordinates to be formatted without a comma, with uppercase letters (Ex: 24.8S 14.1E)
0012	18	Secured Royal Vault	0x001202d6 0 -10 0.0049999998882413 1 0 0 0	0012				Secured Royal Vault		000D	LR060 QF					If portal is accessed via portal gem, enter GW to denote a non fixed location gateway.
